
> fancy-strategy@1.0.0 ai:feed
> UV_THREADPOOL_SIZE=16 node src/ai/feed_real.js

Reading 9233821560 bytes into memory...
Read progress: 524288000/9233821560 (5.7%)
Read progress: 1048576000/9233821560 (11.4%)
Read progress: 1572864000/9233821560 (17.0%)
Read progress: 2097152000/9233821560 (22.7%)
Read progress: 2621440000/9233821560 (28.4%)
Read progress: 3145728000/9233821560 (34.1%)
Read progress: 3670016000/9233821560 (39.7%)
Read progress: 4194304000/9233821560 (45.4%)
Read progress: 4718592000/9233821560 (51.1%)
Read progress: 5242880000/9233821560 (56.8%)
Read progress: 5767168000/9233821560 (62.5%)
Read progress: 6291456000/9233821560 (68.1%)
Read progress: 6815744000/9233821560 (73.8%)
Read progress: 7340032000/9233821560 (79.5%)
Read progress: 7864320000/9233821560 (85.2%)
Read progress: 8388608000/9233821560 (90.8%)
Read progress: 8912896000/9233821560 (96.5%)
Read progress: 9233821560/9233821560 (100.0%)
Successfully read all 9233821560 bytes
First 16 bytes: d78ce40100000080b0ed9c2836cf0500
Middle 16 bytes: 4040f340c976be9f1a2f9d3ff2d24d62
Failed to load model from /Users/shiretu/work/crypto/models/myFirstModel/tf/model.json: Error: Path /Users/shiretu/work/crypto/models/myFirstModel/tf/model.json does not exist: loading failed. Creating a new one.
Sample 000338 | Trade 002482338 | Loss: 80.942368 | MAE: 7.914736 | Buy: -0.0040, Sell: -0.0040
Sample 000354 | Trade 008981752 | Loss: 333.106995 | MAE: 18.170391 | Buy: 0.0072, Sell: -0.0040
Sample 000356 | Trade 045327087 | Loss: 104.140091 | MAE: 9.943514 | Buy: -0.0041, Sell: 0.0070
Sample 000360 | Trade 094895763 | Loss: 1078.516479 | MAE: 32.664749 | Buy: 0.0070, Sell: -0.0040
Sample 000366 | Trade 101859734 | Loss: 704.609192 | MAE: 26.068693 | Buy: -0.0040, Sell: 0.0070
Sample 000370 | Trade 018279480 | Loss: 109.314484 | MAE: 9.286539 | Buy: -0.0042, Sell: 0.0070
Sample 000372 | Trade 048669172 | Loss: 7.220897 | MAE: 2.180604 | Buy: 0.0070, Sell: -0.0040
Sample 000374 | Trade 091947656 | Loss: 5.197313 | MAE: 2.268430 | Buy: -0.0040, Sell: 0.0070
Sample 000377 | Trade 083204477 | Loss: 0.152063 | MAE: 0.387338 | Buy: -0.0040, Sell: 0.0070
Sample 000379 | Trade 065503179 | Loss: 653.029419 | MAE: 19.485764 | Buy: -0.0040, Sell: 0.0070
Sample 000381 | Trade 102065399 | Loss: 4.871554 | MAE: 1.943707 | Buy: -0.0040, Sell: 0.0070
Sample 000382 | Trade 046801900 | Loss: 782.135986 | MAE: 27.257862 | Buy: -0.0040, Sell: 0.0070
Sample 000384 | Trade 001637019 | Loss: 104.123581 | MAE: 8.411660 | Buy: 0.0073, Sell: -0.0041
Sample 000385 | Trade 033424702 | Loss: 222.139801 | MAE: 12.699969 | Buy: -0.0040, Sell: -0.0041
Sample 000386 | Trade 000258778 | Loss: 267.559387 | MAE: 13.411438 | Buy: -0.0040, Sell: 0.0070
Sample 000387 | Trade 034427491 | Loss: 768.460815 | MAE: 21.199774 | Buy: -0.0041, Sell: -0.0041
Sample 000389 | Trade 063460552 | Loss: 124.152573 | MAE: 9.015182 | Buy: -0.0040, Sell: 0.0070
Sample 000390 | Trade 004545162 | Loss: 754.788574 | MAE: 24.879965 | Buy: -0.0040, Sell: -0.0040
Sample 000397 | Trade 047337487 | Loss: 2115.184814 | MAE: 34.771538 | Buy: -0.0040, Sell: 0.0070
Sample 000402 | Trade 006860405 | Loss: 8.489959 | MAE: 2.612956 | Buy: 0.0070, Sell: -0.0040
Sample 000403 | Trade 069373090 | Loss: 136.658218 | MAE: 11.463287 | Buy: -0.0040, Sell: 0.0070
Sample 000411 | Trade 020734176 | Loss: 524.037659 | MAE: 17.779774 | Buy: -0.0040, Sell: -0.0040
Sample 000419 | Trade 017945480 | Loss: 8.670181 | MAE: 2.633158 | Buy: -0.0040, Sell: 0.0070
Sample 000421 | Trade 101329800 | Loss: 147.870102 | MAE: 8.818913 | Buy: 0.0070, Sell: -0.0040
Sample 000422 | Trade 063208656 | Loss: 30.630522 | MAE: 5.057777 | Buy: -0.0040, Sell: -0.0040
Sample 000433 | Trade 028665555 | Loss: 20.248140 | MAE: 4.345766 | Buy: 0.0070, Sell: -0.0040
Sample 000438 | Trade 003494114 | Loss: 851.051514 | MAE: 23.507265 | Buy: -0.0040, Sell: 0.0070
Sample 000440 | Trade 011676037 | Loss: 56.182743 | MAE: 7.448391 | Buy: 0.0070, Sell: -0.0040
Sample 000442 | Trade 010175433 | Loss: 61.745819 | MAE: 7.857749 | Buy: -0.0041, Sell: -0.0042
Sample 000446 | Trade 086991782 | Loss: 740.094727 | MAE: 23.118031 | Buy: 0.0070, Sell: -0.0040
Sample 000447 | Trade 120573529 | Loss: 56.817993 | MAE: 6.239988 | Buy: -0.0040, Sell: 0.0070
Sample 000451 | Trade 076487230 | Loss: 115.774277 | MAE: 10.725560 | Buy: -0.0040, Sell: 0.0070
Sample 000453 | Trade 043981719 | Loss: 44.958832 | MAE: 6.697037 | Buy: -0.0041, Sell: -0.0040
Sample 000456 | Trade 066781249 | Loss: 652.063843 | MAE: 21.121363 | Buy: 0.0070, Sell: -0.0040
Sample 000457 | Trade 040138782 | Loss: 5.528889 | MAE: 2.182275 | Buy: 0.0070, Sell: -0.0040
Sample 000458 | Trade 042941740 | Loss: 13.823823 | MAE: 3.143413 | Buy: 0.0070, Sell: -0.0040
