
> fancy-strategy@1.0.0 ai:train
> UV_THREADPOOL_SIZE=16 node src/ai/train.js binance_ethusdc

Reading 10281524040 bytes into memory...
Read progress: 524288000/10281524040 (5.1%)
Read progress: 1048576000/10281524040 (10.2%)
Read progress: 1572864000/10281524040 (15.3%)
Read progress: 2097152000/10281524040 (20.4%)
Read progress: 2621440000/10281524040 (25.5%)
Read progress: 3145728000/10281524040 (30.6%)
Read progress: 3670016000/10281524040 (35.7%)
Read progress: 4194304000/10281524040 (40.8%)
Read progress: 4718592000/10281524040 (45.9%)
Read progress: 5242880000/10281524040 (51.0%)
Read progress: 5767168000/10281524040 (56.1%)
Read progress: 6291456000/10281524040 (61.2%)
Read progress: 6815744000/10281524040 (66.3%)
Read progress: 7340032000/10281524040 (71.4%)
Read progress: 7864320000/10281524040 (76.5%)
Read progress: 8388608000/10281524040 (81.6%)
Read progress: 8912896000/10281524040 (86.7%)
Read progress: 9437184000/10281524040 (91.8%)
Read progress: 9961472000/10281524040 (96.9%)
Read progress: 10281524040/10281524040 (100.0%)
Successfully read all 10281524040 bytes
First 16 bytes: c770c000000000c048859a645ecf0500
Middle 16 bytes: 0acf98405eba490c022bef3f8e1ebfb7
Failed to load model from /Users/shiretu/work/crypto/models/binance_ethusdc/tf/model.json: Error: Path /Users/shiretu/work/crypto/models/binance_ethusdc/tf/model.json does not exist: loading failed. Creating a new one.
Sample 000156 | idx 1183101 | Trade 039053932 | Candle 028768423 | Loss 3.241490 | MAE 1.290771 | MSE 3.241490 | Buy -0.0021/120 | Sell 0.0021/119 | TradesCount 20960
Sample 000157 | idx 1747883 | Trade 242012481 | Candle 029333345 | Loss 70.405533 | MAE 6.432591 | MSE 70.405533 | Buy -0.0198/109 | Sell 0.0200/109 | TradesCount 92561
Sample 000158 | idx 1726249 | Trade 231745346 | Candle 029311711 | Loss 126.978851 | MAE 10.227724 | MSE 126.978851 | Buy -0.0029/119 | Sell 0.0030/120 | TradesCount 54380
Sample 000159 | idx 1530619 | Trade 152718252 | Candle 029116081 | Loss 127.454758 | MAE 10.156180 | MSE 127.454758 | Buy 0.0040/120 | Sell -0.0040/119 | TradesCount 57190
Sample 000160 | idx 1540207 | Trade 155722945 | Candle 029125669 | Loss 26.059780 | MAE 5.045893 | MSE 26.059780 | Buy 0.0042/119 | Sell -0.0040/120 | TradesCount 40173
Sample 000161 | idx 1325204 | Trade 055276077 | Candle 028910659 | Loss 673.271973 | MAE 22.816885 | MSE 673.271973 | Buy -0.0127/119 | Sell 0.0129/120 | TradesCount 71380
Sample 000162 | idx  445181 | Trade 015850575 | Candle 027720149 | Loss 36.817795 | MAE 4.764527 | MSE 36.817795 | Buy -0.0194/12 | Sell 0.0201/12 | TradesCount 11242
Sample 000165 | idx 1578193 | Trade 168152557 | Candle 029163655 | Loss 1289.136475 | MAE 35.695877 | MSE 1289.136475 | Buy -0.0190/117 | Sell 0.0200/117 | TradesCount 133155
Sample 000168 | idx 1716041 | Trade 227655890 | Candle 029301503 | Loss 312.763397 | MAE 16.083271 | MSE 312.763397 | Buy -0.0004/120 | Sell 0.0004/119 | TradesCount 76495
Sample 000170 | idx 1202098 | Trade 040524008 | Candle 028787459 | Loss 143.888351 | MAE 9.699650 | MSE 143.888351 | Buy -0.0021/120 | Sell 0.0021/119 | TradesCount 9680
Sample 000173 | idx 1444622 | Trade 082639200 | Candle 029030084 | Loss 548.955017 | MAE 22.863241 | MSE 548.955017 | Buy 0.0049/119 | Sell -0.0048/120 | TradesCount 273547
Sample 000175 | idx 1008907 | Trade 024845184 | Candle 028592807 | Loss 3.330486 | MAE 1.824700 | MSE 3.330486 | Buy 0.0201/87 | Sell -0.0193/87 | TradesCount 6757
Sample 000177 | idx 1458359 | Trade 092393773 | Candle 029043821 | Loss 115.800682 | MAE 9.881189 | MSE 115.800682 | Buy 0.0012/119 | Sell -0.0013/120 | TradesCount 81083
Sample 000179 | idx 1300210 | Trade 051442141 | Candle 028885664 | Loss 224.459564 | MAE 14.093241 | MSE 224.459564 | Buy -0.0159/119 | Sell 0.0161/120 | TradesCount 39863
Sample 000182 | idx 1472268 | Trade 100101590 | Candle 029057730 | Loss 13.037480 | MAE 3.346787 | MSE 13.037480 | Buy 0.0010/119 | Sell -0.0010/120 | TradesCount 121346
Sample 000183 | idx 1718901 | Trade 229273026 | Candle 029304363 | Loss 20.742414 | MAE 4.510406 | MSE 20.742414 | Buy -0.0048/119 | Sell 0.0049/120 | TradesCount 52983
Sample 000185 | idx 1484724 | Trade 114631151 | Candle 029070186 | Loss 221.971252 | MAE 13.042197 | MSE 221.971252 | Buy 0.0122/120 | Sell -0.0121/119 | TradesCount 736543
Sample 000186 | idx 1290362 | Trade 050078376 | Candle 028875816 | Loss 991.871643 | MAE 24.849930 | MSE 991.871643 | Buy 0.0082/120 | Sell -0.0100/119 | TradesCount 63625
Sample 000188 | idx 1430730 | Trade 070427137 | Candle 029016192 | Loss 2.757635 | MAE 1.386243 | MSE 2.757635 | Buy -0.0132/119 | Sell 0.0130/120 | TradesCount 31719
Sample 000197 | idx  186922 | Trade 003109794 | Candle 027460359 | Loss 547.066345 | MAE 22.961159 | MSE 547.066345 | Buy -0.0041/119 | Sell 0.0048/120 | TradesCount 10964
Sample 000200 | idx 1006290 | Trade 024797579 | Candle 028590162 | Loss 12.724550 | MAE 3.316868 | MSE 12.724550 | Buy -0.0010/120 | Sell 0.0009/119 | TradesCount 2967
Sample 000203 | idx 1345895 | Trade 057473578 | Candle 028931351 | Loss 39.731232 | MAE 6.141692 | MSE 39.731232 | Buy 0.0044/120 | Sell -0.0041/119 | TradesCount 8720
Sample 000204 | idx 1149385 | Trade 036338281 | Candle 028734665 | Loss 40.521736 | MAE 6.365241 | MSE 40.521736 | Buy 0.0037/119 | Sell -0.0044/120 | TradesCount 8864
Sample 000205 | idx 1419918 | Trade 067616241 | Candle 029005380 | Loss 2056.198730 | MAE 32.576797 | MSE 2056.198730 | Buy -0.0054/119 | Sell 0.0056/120 | TradesCount 22712
Sample 000206 | idx 1564041 | Trade 163184214 | Candle 029149503 | Loss 50.011818 | MAE 6.700166 | MSE 50.011818 | Buy -0.0100/119 | Sell 0.0040/120 | TradesCount 61316
Sample 000209 | idx 1633838 | Trade 187483568 | Candle 029219300 | Loss 11.896786 | MAE 3.373075 | MSE 11.896786 | Buy -0.0100/119 | Sell 0.0046/120 | TradesCount 168983
